id,Activity_Date,ActivityDay,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,ModeratelyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalSteps,ActivityLevel,Calories,CalorieLevel,totalsleeprecords,totalminutesasleep,totaltimeinbed
1503960366,2016-04-12,Tuesday,8.5,1.87999999523163,0.550000011920929,6.05999994277954,0,25,13,328,728,13162,Moderately Active,1985,Medium,1,327,346
1503960366,2016-04-13,Wednesday,6.96999979019165,1.57000005245209,0.689999997615814,4.71000003814697,0,21,19,217,776,10735,Moderately Active,1797,Low,2,384,407
1503960366,2016-04-14,Thursday,6.73999977111816,2.44000005722046,0.400000005960464,3.91000008583069,0,30,11,181,1218,10460,Moderately Active,1776,Low,0,0,0
1503960366,2016-04-15,Friday,6.28000020980835,2.14000010490417,1.25999999046326,2.82999992370605,0,29,34,209,726,9762,Moderately Active,1745,Low,1,412,442
1503960366,2016-04-16,Saturday,8.15999984741211,2.71000003814697,0.409999996423721,5.03999996185303,0,36,10,221,773,12669,Moderately Active,1863,Medium,2,340,367
1503960366,2016-04-17,Sunday,6.48000001907349,3.19000005722046,0.779999971389771,2.50999999046326,0,38,20,164,539,9705,Moderately Active,1728,Low,1,700,712
1503960366,2016-04-18,Monday,8.59000015258789,3.25,0.639999985694885,4.71000003814697,0,42,16,233,1149,13019,Moderately Active,1921,Medium,0,0,0
1503960366,2016-04-19,Tuesday,9.88000011444092,3.52999997138977,1.32000005245209,5.03000020980835,0,50,31,264,775,15506,Very Active,2035,Medium,1,304,320
1503960366,2016-04-20,Wednesday,6.67999982833862,1.96000003814697,0.479999989271164,4.23999977111816,0,28,12,205,818,10544,Moderately Active,1786,Low,1,360,377
1503960366,2016-04-21,Thursday,6.34000015258789,1.3400000333786,0.349999994039536,4.65000009536743,0,19,8,211,838,9819,Moderately Active,1775,Low,1,325,364
1503960366,2016-04-22,Friday,8.13000011444092,4.76000022888184,1.12000000476837,2.24000000953674,0,66,27,130,1217,12764,Moderately Active,1827,Medium,0,0,0
1503960366,2016-04-23,Saturday,9.03999996185303,2.80999994277954,0.870000004768372,5.3600001335144,0,41,21,262,732,14371,Moderately Active,1949,Medium,1,361,384
1503960366,2016-04-24,Sunday,6.40999984741211,2.92000007629395,0.209999993443489,3.27999997138977,0,39,5,238,709,10039,Moderately Active,1788,Low,1,430,449
1503960366,2016-04-25,Monday,9.80000019073486,5.28999996185303,0.569999992847443,3.94000005722046,0,73,14,216,814,15355,Very Active,2013,Medium,1,277,323
